ts,name,value,unit,mode,pid,bus
2026-07-21T22:40:38.115794333+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:39.007795407+00:00,engine_rpm,669.75,rpm,1,12,hs
2026-07-21T22:40:39.050637596+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:39.086611242+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:39.139641004+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:39.176657386+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:39.224662513+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:40.119686059+00:00,engine_rpm,681.75,rpm,1,12,hs
2026-07-21T22:40:40.166662698+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:40.207674460+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:40.254610144+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:40.297623759+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:40.339671072+00:00,engine_load,35.294117647058826,%,1,4,hs
2026-07-21T22:40:41.257649295+00:00,engine_rpm,670.25,rpm,1,12,hs
2026-07-21T22:40:41.296769176+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:41.346651849+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:41.385737911+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:41.431666343+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:41.476712847+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:42.367696197+00:00,engine_rpm,669.75,rpm,1,12,hs
2026-07-21T22:40:42.411654521+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:42.457753525+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:42.499692863+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:42.535709789+00:00,throttle,12.549019607843137,%,1,17,hs
2026-07-21T22:40:42.585653988+00:00,engine_load,34.90196078431372,%,1,4,hs
2026-07-21T22:40:43.455650436+00:00,engine_rpm,663.75,rpm,1,12,hs
2026-07-21T22:40:43.537771906+00:00,vehicle_speed,0,km/h,1,13,hs
2026-07-21T22:40:43.585661446+00:00,coolant_temp,96,C,1,5,hs
2026-07-21T22:40:43.627669551+00:00,intake_temp,43,C,1,15,hs
2026-07-21T22:40:43.674804391+00:00,throttle,12.156862745098039,%,1,17,hs
2026-07-21T22:40:43.716652933+00:00,engine_load,35.68627450980392,%,1,4,hs
2026-07-21T22:40:44.606653862+00:00,engine_rpm,677.75,rpm,1,12,hs
