Address,Byte Values,,,Audio Control Module ACM 727-XX-XX,,Notes
,,,,,,
,,,,"0=FT Not Present, CS: North American, ANC Not Present, USB Not Present","8=FT Present, CS: North American, ANC Not Present, USB Not Present",
,,,,"1=FT Not Present, CS: North American, ANC Not Present, USB Present","9=FT Present, CS: North American, ANC Not Present, USB Present",
,,,,"2=FT Not Present, CS: North American, ANC Present, USB Not Present","A=FT Present, CS: North American, ANC Present, USB Not Present",
,,,,"3=FT Not Present, CS: North American, ANC Present, USB Present","B=FT Present, CS: North American, ANC Present, USB Present",
,,,,"4=FT Not Present, CS: CIMCA, ANC Not Present, USB Not Present","C=FT Present, CS: CIMCA, ANC Not Present, USB Not Present",
,,,,"5=FT Not Present, CS: CIMCA, ANC Not Present, USB Present","D=FT Present, CS: CIMCA, ANC Not Present, USB Present",
,,,,"6=FT Not Present, CS: CIMCA, ANC Present, USB Not Present","E=FT Present, CS: CIMCA, ANC Present, USB Not Present",
,,,,"7=FT Not Present, CS: CIMCA, ANC Present, USB Present","F=FT Present, CS: CIMCA, ANC Present, USB Present",
727-01-01,xxxx,xx*x,xxxx,"Reserved, PS Field [configuration only applies to RBDS] (PS), On-Demand Lamp (ODL)",,
,,,,"0=Reserved, PS Not Available, ODL Disabled","4=Reserved, PS Available, ODL Disabled",
,,,,"2=Reserved, PS Not Available, ODL Enabled","6=Reserved, PS Available, ODL Enabled",
727-01-01,xxxx,xxx*,xxxx,"CD, Enable Mute Radio Configuration (MRC)",,
,,,,"0=Internal CD, MRC Disabled","2=External CD or No CD, MRC Disabled",
,,,,"1=Internal CD, MRC Enabled","3=External CD or No CD, MRC Enabled",
727-01-01,xxxx,xxxx,*xxx,"Center Channel Open Detection, Auxiliary Audio Module (AAM), Convertible, Turn Signal Chimes",,
,,,,"0=CC Check for Open, AAM Not Present, non-Convertible, Chimes Disabled","8=CC Do Not Check for Open, AAM Not Present, non-Convertible, Chimes Disabled",
,,,,"1=CC Check for Open, AAM Not Present, non-Convertible, Chimes Enabled","9=CC Do Not Check for Open, AAM Not Present, non-Convertible, Chimes Enabled",
,,,,"2=CC Check for Open, AAM Not Present, Convertible, Chimes Disabled","A=CC Do Not Check for Open, AAM Not Present, Convertible, Chimes Disabled",
,,,,"3=CC Check for Open, AAM Not Present, Convertible, Chimes enaabled","B=CC Do Not Check for Open, AAM Not Present, Convertible, Chimes Enabled",
,,,,"4=CC Check for Open, AAM Present, non-Convertible, Chimes Disabled","C=CC Do Not Check for Open, AAM Present, non-Convertible, Chimes Disabled",
,,,,"5=CC Check for Open, AAM Present, non-Convertible, Chimes Enabled","D=CC Do Not Check for Open, AAM Present, non-Convertible, Chimes Enabled",
,,,,"6=CC Check for Open, AAM Present, Convertible, Chimes Disabled","E=CC Do Not Check for Open, AAM Present, Convertible, Chimes Disabled",
,,,,"7=CC Check for Open, AAM Present, Convertible, Chimes Enabled","F=CC Do Not Check for Open, AAM Present, Convertible, Chimes Enabled",
727-01-01,xxxx,xxxx,x*xx,"Traffic, Rear Tweeters (RT), Tune Knob Acceleration (TKA), Antenna 2
* Traffic applies to RDS radios only, Rear Tweeters not applicable for A2B ACMs *",,
,,,,"0=Traffic Enabled, RT Not Present, TKA off, Antenna 2 Enabled","8=Traffic Disabled, RT Not Present, TKA off, Antenna 2 Enabled",
,,,,"1=Traffic Enabled, RT Not Present, TKA off, Antenna 2 Disabled","9=Traffic Disabled, RT Not Present, TKA off, Antenna 2 Disabled",
,,,,"2=Traffic Enabled, RT Not Present, TKA on, Antenna 2 Enabled","A=Traffic Disabled, RT Not Present, TKA on, Antenna 2 Enabled",
,,,,"3=Traffic Enabled, RT Not Present, TKA on, Antenna 2 Disabled","B=Traffic Disabled, RT Not Present, TKA on, Antenna 2 Disabled",
,,,,"4=Traffic Enabled, RT Present, TKA off, Antenna 2 Enabled","C=Traffic Disabled, RT Present, TKA off, Antenna 2 Enabled",
,,,,"5=Traffic Enabled, RT Present, TKA off, Antenna 2 Disabled","D=Traffic Disabled, RT Present, TKA off, Antenna 2 Disabled",
,,,,"6=Traffic Enabled, RT Present, TKA on, Antenna 2 Enabled","E=Traffic Disabled, RT Present, TKA on, Antenna 2 Enabled",
,,,,"7=Traffic Enabled, RT Present, TKA on, Antenna 2 Disabled","F=Traffic Disabled, RT Present, TKA on, Antenna 2 Disabled",
,,,,,,
727-01-02,**xx,xxxx,xxxx,EQ Selection # (EQ settings are vehicle dependent.),,
,,,,00=EQ Selection #0 (default EQ with protection filtering),08=EQ Selection #8,
,,,,01=EQ Selection #1,09=EQ Selection #9,
,,,,02=EQ Selection #2,0A=EQ Selection #10,
,,,,03=EQ Selection #3,0B=EQ Selection #11,
,,,,04=EQ Selection #4,0C=EQ Selection #12,
,,,,05=EQ Selection #5,0D=EQ Selection #13,
,,,,06=EQ Selection #6,0E=EQ Selection #14,
,,,,07=EQ Selection #7,0F=EQ Selection #15,
727-01-02,xx*x,xxxx,xxxx,"Active Noise Control (ANC) Left Front Mixing, Active Noise Control (ANC) Center Front Mixing",,
,,,,"0=LF: No Mixing, CF: No Mixing","8=LF: Aux1, CF: No Mixing",
,,,,"1=LF: No Mixing, CF: Power Amp Center","9=LF: Aux1, CF: Power Amp Center",
,,,,"2=LF: No Mixing, CF: Center ANC","A=LF:Aux1, CF: Center ANC",
,,,,"3=LF: No Mixing, CF: Reserved","B=LF: Aux1, CF: Reserved",
,,,,"4=LF: Power Amp Left, CF: No Mixing","C=LF: Reserved, CF: No Mixing",
,,,,"5=LF: Power Amp Left, CF: Power Amp Center","D=LF: Reserved, CF: Power Amp Center",
,,,,"6=LF: Power Amp Left, CF: Center ANC","E=LF: reserverd, CF: Center ANC",
,,,,"7=LF: Power Amp Left, CF: Reserved","F=LF: Reserved, CF: Reserved",
727-01-02,xxx*,xxxx,xxxx,"Active Noise Control (ANC) Right Front Mixing, Active Noise Control (ANC) Rear Mixing",,
,,,,"0=RF: No Mixing, Rear: No Mixing","8=RF: Aux2, Rear: No Mixing",
,,,,"1=RF: No Mixing, Rear: Power Amp Left, Right","9=RF: Aux2, Rear: Power Amp Left, Right",
,,,,"2=RF: No Mixing, Rear: Aux1","A=RF: Aux2, Rear: Aux1",
,,,,"3=RF: No Mixing, Rear: Power Amp Left, Right Rear, Aux1","B=RF: Aux2, Rear: Power Amp Left, Right Rear, Aux1",
,,,,"4=RF: Power Amp Right, Rear: No Mixing","C=RF: Reserved, Rear: No Mixing",
,,,,"5=RF: Power Amp Right, Rear: Power Amp Left, Right","D=RF: Reserved, Rear: Power Amp Left, Right",
,,,,"6=RF: Power Amp Right, Rear: Aux1","E=RF: Reserved, Rear: Aux1",
,,,,"7=RF: Power Amp Right, Rear: Power Amp Left, Right Rear, Aux1","F=RF: Reserved, Rear: Power Amp Left, Right Rear, Aux1",
727-01-02,xxxx,*xxx,xxxx,"Speaker 1 Output (only valid if A2B is enabled), Speaker 2 Output (only valid if A2B is enabled)",,
,,,,"0=Speaker1 00-Non-Tweeter Only, Speaker2 00-Non-Tweeter Only","8=Speaker1 10-Speaker, Tweeter Only, Speaker2 00-Non-Tweeter Only",
,,,,"1=Speaker1 00-Non-Tweeter Only, Speaker2 01-Tweeter Only","9=Speaker1 10-Speaker, Tweeter Only, Speaker2 01-Tweeter Only",
,,,,"2=Speaker1 00-Non-Tweeter Only, Speaker2 10-Speaker, Tweeter","A=Speaker1 10-Speaker, Tweeter Only, Speaker2 10-Speaker, Tweeter",
,,,,"3=Speaker1 00-Non-Tweeter Only, Speaker2 11-No speaker Connected","B=Speaker1 10-Speaker, Tweeter Only, Speaker2 11=No speaker Connected",
,,,,"4=Speaker1 01-Tweeter Only, Speaker2 00-Non-Tweeter Only","C=Speaker1 11-No speaker Connected, Speaker2 00-Non-Tweeter Only",
,,,,"5=Speaker1 01-Tweeter Only, Speaker2 01-Tweeter Only","D=Speaker1 11-No speaker Connected, Speaker2 01-Tweeter Only",
,,,,"6=Speaker1 01-Tweeter Only, Speaker2 10-Speaker, Tweeter","E=Speaker1 11-No speaker Connected, Speaker2 10-Speaker, Tweeter",
,,,,"7=Speaker1 01-Tweeter Only, Speaker2 11-No speaker Connected","F=Speaker1 11-No speaker Connected, Speaker2 11-No speaker Connected",
727-01-02,xxxx,x*xx,xxxx,"Speaker 3 Output (only valid if A2B is enabled), Speaker 4 Output (only valid if A2B is enabled)",,
,,,,"0=Speaker3 00-Non-Tweeter Only, Speaker4 00-Non-Tweeter Only","8=Speaker3 10-Speaker, Tweeter Only, Speaker4 00-Non-Tweeter Only",
,,,,"1=Speaker3 00-Non-Tweeter Only, Speaker4 01-Tweeter Only","9=Speaker3 10-Speaker, Tweeter Only, Speaker4 01-Tweeter Only",
,,,,"2=Speaker3 00-Non-Tweeter Only, Speaker4 10-Speaker, Tweeter","A=Speaker3 10-Speaker, Tweeter Only, Speaker4 10-Speaker, Tweeter",
,,,,"3=Speaker3 00-Non-Tweeter Only, Speaker4 11-No speaker Connected","B=Speaker3 10-Speaker, Tweeter Only, Speaker4 11=No speaker Connected",
,,,,"4=Speaker3 01-Tweeter Only, Speaker4 00-Non-Tweeter Only","C=Speaker3 11-No speaker Connected, Speaker4 00-Non-Tweeter Only",
,,,,"5=Speaker3 01-Tweeter Only, Speaker4 01-Tweeter Only","D=Speaker3 11-No speaker Connected, Speaker4 01-Tweeter Only",
,,,,"6=Speaker3 01-Tweeter Only, Speaker4 10-Speaker, Tweeter","E=Speaker3 11-No speaker Connected, Speaker4 10-Speaker, Tweeter",
,,,,"7=Speaker3 01-Tweeter Only, Speaker4 11-No speaker Connected","F=Speaker3 11-No speaker Connected, Speaker4 11-No speaker Connected",
,,,,,,
727-01-03,xxxx,xxxx,xxxx,Not Defined,,
,,,,,,
727-02-01,xxxx,,,AM Station for Antenna Test (kHz),,
,,,,,,
727-03-01,xxxx,,,AM Signal Strength - Acceptable Value (dBuV),,
,,,,,,
727-04-01,x*xx,xxxx,xxxx,Tuner Region,,
,,,,0=North America,,
,,,,1=GCC,,
,,,,2=Japan,,
,,,,3=Europe,,
,,,,4=Asia Pacific,,
727-04-01,xxx*,xxxx,xxxx,SDARS Region,,
,,,,0=Unconfigured,,
,,,,1=United States,,
,,,,2=Canada,,
,,,,3=No Content,,
727-04-01,xxxx,x*xx,xxxx,SDARS Data Services,,
,,,,0=Unconfigured,,
,,,,1=Data Services,,
,,,,2=No Data Services,,
727-04-01,xxxx,xx**,**xx,Country Code,,
,,,,,,
727-05-01,xxxx,xxxx,xxxx,AM Presets,,
