737-01-01,****,****,**xx,VIN (first 5),,,,,,,,,,,,,,,,,,,,,
737-01-02,****,****,**xx,VIN (6-10),,,,,,,,,,,,,,,,,,,,,
737-01-03,****,****,**xx,VIN (11-15),,,,,,,,,,,,,,,,,,,,,
737-01-04,****,xx,,VIN (16-17),,,,,,,,,,,,,,,,,,,,,
,,,,3=DFA no & U2 no & U1 yes & SRIS yes,,,,B=DFA yes & U2 no & U1 yes & SRIS yes,,,,,,,,,,,,,,,,,
,,,,4=DFA no & U2 yes & U1 no & SRIS no,,,,C=DFA yes & U2 yes & U1 no & SRIS no,,,,,,,,,,,,,,,,,
,,,,5=DFA no & U2 yes & U1 no & SRIS yes,,,,D=DFA yes & U2 yes & U1 no & SRIS yes,,,,,,,,,,,,,,,,,
,,,,6=DFA no & U2 yes & U1 yes & SRIS no,,,,E=DFA yes & U2 yes & U1 yes & SRIS no,,,,,,,,,,,,,,,,,
,,,,7=DFA no & U2 yes & U1 yes & SRIS yes,,,,F=DFA yes & U2 yes & U1 yes & SRIS yes,,,,,,,,,,,,,,,,,
737-02-01,xxxx,*xxx,xxxx,Driver Side Thorax Bag Present (DSTB) & Passenger Side Thorax Bag Present (PSTB) & Extended Power Module Present (EPM) & Driver Seatbelt Buckle Pretensioner Present (DSBP),,,,,,,,,,,,,,,,,,,,,
,,,,0=DSTB no & PSTB no & EPM no & DSBP no,,,,8=DSTB yes & PSTB no & EPM no & DSBP no,,,,,,,,,,,,,,,,,
,,,,1=DSTB no & PSTB no & EPM no & DSBP yes,,,,9=DSTB yes & PSTB no & EPM no & DSBP yes,,,,,,,,,,,,,,,,,
,,,,2=DSTB no & PSTB no & EPM yes & DSBP no,,,,A=DSTB yes & PSTB no & EPM yes & DSBP no,,,,,,,,,,,,,,,,,
,,,,3=DSTB no & PSTB no & EPM yes & DSBP yes,,,,B=DSTB yes & PSTB no & EPM yes & DSBP yes,,,,,,,,,,,,,,,,,
,,,,4=DSTB no & PSTB yes & EPM no & DSBP no,,,,C=DSTB yes & PSTB yes & EPM no & DSBP no,,,,,,,,,,,,,,,,,
,,,,5=DSTB no & PSTB yes & EPM no & DSBP yes,,,,D=DSTB yes & PSTB yes & EPM no & DSBP yes,,,,,,,,,,,,,,,,,
,,,,6=DSTB no & PSTB yes & EPM yes & DSBP no,,,,E=DSTB yes & PSTB yes & EPM yes & DSBP no,,,,,,,,,,,,,,,,,
,,,,7=DSTB no & PSTB yes & EPM yes & DSBP yes,,,,F=DSTB yes & PSTB yes & EPM yes & DSBP yes,,,,,,,,,,,,,,,,,
737-02-01,xxxx,x*xx,xxxx,Passenger Seat Track Position Sensor Present (PSTP) & Driver Seat Track Position Sensor Present (DSTP) & Passenger Seatbelt Load Limiter Present (PSLL) & Driver Knee Airbag Present (DKA),,,,,,,,,,,,,,,,,,,,,
,,,,0=PSTP no & DSTP no & PSLL no & DKA no,,,,8=PSTP yes & DSTP no & PSLL no & DKA no,,,,,,,,,,,,,,,,,
,,,,1=PSTP no & DSTP no & PSLL no & DKA yes,,,,9=PSTP yes & DSTP no & PSLL no & DKA yes,,,,,,,,,,,,,,,,,
,,,,2=PSTP no & DSTP no & PSLL yes & DKA no,,,,A=PSTP yes & DSTP no & PSLL yes & DKA no,,,,,,,,,,,,,,,,,
,,,,3=PSTP no & DSTP no & PSLL yes & DKA yes,,,,B=PSTP yes & DSTP no & PSLL yes & DKA yes,,,,,,,,,,,,,,,,,
,,,,4=PSTP no & DSTP yes & PSLL no & DKA no,,,,C=PSTP yes & DSTP yes & PSLL no & DKA no,,,,,,,,,,,,,,,,,
,,,,5=PSTP no & DSTP yes & PSLL no & DKA yes,,,,D=PSTP yes & DSTP yes & PSLL no & DKA yes,,,,,,,,,,,,,,,,,
,,,,6=PSTP no & DSTP yes & PSLL yes & DKA no,,,,E=PSTP yes & DSTP yes & PSLL yes & DKA no,,,,,,,,,,,,,,,,,
,,,,7=PSTP no & DSTP yes & PSLL yes & DKA yes,,,,F=PSTP yes & DSTP yes & PSLL yes & DKA yes,,,,,,,,,,,,,,,,,
737-02-01,xxxx,xx*x,xxxx,Passenger Side Curtain Airbag 2 Present (PSCA2) & Driver Side Curtain Airbag 2 Present (DSCA2) & Passenger Side Curtain Airbag 1 Present (PSCA1) & Driver Side Curtain Airbag 1 Present (DSCA1),,,,,,,,,,,,,,,,,,,,,
,,,,0=PSCA2 no & DSCA2 no & PSCA1 no & DSCA1 no,,,,8=PSCA2 yes & DSCA2 no & PSCA1 no & DSCA1 no,,,,,,,,,,,,,,,,,
,,,,1=PSCA2 no & DSCA2 no & PSCA1 no & DSCA1 yes,,,,9=PSCA2 yes & DSCA2 no & PSCA1 no & DSCA1 yes,,,,,,,,,,,,,,,,,
,,,,2=PSCA2 no & DSCA2 no & PSCA1 yes & DSCA1 no,,,,A=PSCA2 yes & DSCA2 no & PSCA1 yes & DSCA1 no,,,,,,,,,,,,,,,,,
,,,,3=PSCA2 no & DSCA2 no & PSCA1 yes & DSCA1 yes,,,,B=PSCA2 yes & DSCA2 no & PSCA1 yes & DSCA1 yes,,,,,,,,,,,,,,,,,
