760-01-01,xxxx,xxxx,xxxx,VIN,,
760-01-02,xxxx,xxxx,xxxx,,,
760-01-03,xxxx,xxxx,xxxx,,,
760-01-04,xxxx,xx,,,,
760-02-01,*xxx,xxxx,xxxx,"Wheelbase (inches): 0=Reserved, 1=122in, 2=141in, 3=145in, 4=157in, 5=163in, 7=133in",,
760-02-01,x*xx,xxxx,xxxx,"Payload Package: 0=Reserved, 1=Base Payload, 2=Mid Payload, 3=Heavy Duty Payload",,
760-02-01,xx*x,xxxx,xxxx,"Engine: 0=Reserved, 1=2.7L GTDI, 2=3.5L PFI, 3=3.5L GTDI, 4=5.0L PFI",,
760-02-01,xxx*,xxxx,xxxx,"Steering Gear: 0=Reserved, 1=EPAS 17:1, 2=EPAS 21:1",,
760-02-01,xxxx,*xxx,xxxx,"Tire Size: 0=Reserved, 1=17/18, 2=20, 3=22, 4=SVT (LT315/70R17)",,
760-02-01,xxxx,x*xx,xxxx,"Trailer Tow: 0=Reserved, 1=Base Medium Heavy Duty, 2=Max Duty",,
760-02-01,xxxx,xx*x,xxxx,Reserved,,
760-02-01,xxxx,xxx*,xxxx,Reserved,,
760-02-01,xxxx,xxxx,*xxx,Reserved,,
760-02-01,xxxx,xxxx,x*xx,"Driveline: 0=Reserved, 1=4x2 [MFAL FMLAA (Less Transfer Case)], 2=ESOF [MFAL FMLAS (Electric Transfer Case w/IWE's)], 3=2TOD [MFAL FMLAT (4x4 2spd Trans Case w/TOD)], 4=2TOD4H [MFAL FMLAX (2spd TOD w/4HI-LOC)]",,
760-02-02,*xxx,xxxx,,"Transmission: 0=Reserved, 1=6R80 [MFAL TR-C3 (6spd Auto Trans)], 2=10R80 [MFAL TR-EU (10spd Auto Trans)]",,
760-02-02,x*xx,xxxx,,Reserved,,
760-02-02,xx*x,xxxx,,Reserved,,
760-02-02,xxx*,xxxx,,Reserved,,
760-02-02,xxxx,*xxx,,Reserved,,
760-02-02,xxxx,x*xx,,Reserved,,
760-03-01,*xxx,xx,,Reserved & eLocker (eloc) & ACC & CMbB,,ACC=adaptive cruise control
,,,,"0=reserved, without eloc, without ACC, without CmbB","8=reserved, without eloc, without ACC, without CmbB",CMbB= Collision mitigation by braking
,,,,"1=reserved, without eloc, without ACC, with CmbB","9=reserved, without eloc, without ACC, with CmbB",
,,,,"2=reserved, without eloc, with ACC, without CmbB","A=reserved, without eloc, with ACC, without CmbB",
,,,,"3=reserved, without eloc, with ACC, with CmbB","B=reserved, without eloc, with ACC, with CmbB",
,,,,"4=reserved, with eloc, without ACC, without CmbB","C=reserved, with eloc, without ACC, without CmbB",
,,,,"5=reserved, with eloc, without ACC, with CmbB","D=reserved, with eloc, without ACC, with CmbB",
,,,,"6=reserved, with eloc, with ACC, without CmbB","E=reserved, with eloc, with ACC, without CmbB",
,,,,"7=reserved, with eloc, with ACC, with CmbB","F=reserved, with eloc, with ACC, with CmbB",
760-03-01,x*xx,xx,,StopStart (SS) & EPB & HDC & Reserved,,EPB=electric parking brake
,,,,"0=without SS, without EPB, without HDC, reserved","8=with SS, without EPB, without HDC, reserved",HDC=hill descent control
,,,,"1=without SS, without EPB, without HDC, reserved","9=with SS, without EPB, without HDC, reserved",
,,,,"2=without SS, without EPB, with HDC, reserved","A=with SS, without EPB, with HDC, reserved",
,,,,"3=without SS, without EPB, with HDC, reserved","B=with SS, without EPB, with HDC, reserved",
,,,,"4=without SS, with EPB, without HDC, reserved","C=with SS, with EPB, without HDC, reserved",
,,,,"5=without SS, with EPB, without HDC, reserved","D=with SS, with EPB, without HDC, reserved",
,,,,"6=without SS, with EPB, with HDC, reserved","E=with SS, with EPB, with HDC, reserved",
,,,,"7=without SS, with EPB, with HDC, reserved","F=with SS, with EPB, with HDC, reserved",
760-03-01,xx*x,xx,,"TBA (Trailer Backup Assist): 0,1,2,3,8,9,A,B=without TBA, 4,5,6,7,C,D,E,F=with TBA",,"<--2016-2017 only, no TBA mapping yet for 2018"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
